epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,57698.4,0.96062,0.64075,1.16684,0.72599,0.69582,0.64723,0.52013,0.91993,1.9396,1.18328,0.005842,0.005842,0.005842
44,58913.1,0.96153,0.6516,1.16536,0.71739,0.69984,0.65852,0.53184,0.92016,1.93337,1.18369,0.005743,0.005743,0.005743
45,60178.7,0.95227,0.64338,1.15763,0.72298,0.69984,0.64788,0.52184,0.92612,1.96938,1.18209,0.005644,0.005644,0.005644
46,61441,0.95889,0.63652,1.16249,0.72711,0.7027,0.66408,0.53346,0.93441,1.9034,1.18538,0.005545,0.005545,0.005545
47,62697.8,0.94724,0.63824,1.1568,0.72606,0.70608,0.67419,0.54168,0.94178,1.90539,1.18115,0.005446,0.005446,0.005446
48,63958.2,0.93676,0.62565,1.15596,0.7248,0.70428,0.67312,0.54529,0.92411,1.95482,1.17733,0.005347,0.005347,0.005347
49,65207.2,0.94139,0.62777,1.15669,0.72339,0.71238,0.67222,0.54688,0.91089,1.94402,1.17659,0.005248,0.005248,0.005248
50,66454,0.93779,0.62052,1.15268,0.72556,0.70464,0.67013,0.5416,0.92231,2.02382,1.1778,0.005149,0.005149,0.005149
51,67716.5,0.93807,0.62962,1.15515,0.72058,0.71345,0.65932,0.53551,0.90943,2.05747,1.17406,0.00505,0.00505,0.00505
52,68974.9,0.93449,0.61536,1.15102,0.72247,0.70998,0.67905,0.55131,0.91052,2.0335,1.17417,0.004951,0.004951,0.004951
53,70247.9,0.92517,0.61968,1.14825,0.73418,0.70788,0.66266,0.5377,0.90222,2.06087,1.17511,0.004852,0.004852,0.004852
54,71516.1,0.92366,0.60637,1.14357,0.73131,0.70861,0.64593,0.52426,0.91389,2.03203,1.18281,0.004753,0.004753,0.004753
55,72791.9,0.91776,0.60017,1.13843,0.73704,0.7028,0.64514,0.52091,0.92548,1.99624,1.18536,0.004654,0.004654,0.004654
56,74066.9,0.92553,0.6121,1.14779,0.73711,0.70443,0.63277,0.51198,0.9014,1.97969,1.16859,0.004555,0.004555,0.004555
57,75350.3,0.91367,0.61065,1.13842,0.7357,0.70255,0.63655,0.51802,0.89948,1.86055,1.16545,0.004456,0.004456,0.004456
58,76639.9,0.91306,0.60401,1.13781,0.7285,0.70178,0.64409,0.52327,0.90403,1.87681,1.16636,0.004357,0.004357,0.004357
59,77922.5,0.91103,0.59551,1.13758,0.73076,0.70237,0.64291,0.52309,0.90855,1.90952,1.16641,0.004258,0.004258,0.004258
60,79208.9,0.90444,0.59598,1.13452,0.73746,0.69902,0.64754,0.52459,0.91794,1.98087,1.17039,0.004159,0.004159,0.004159
61,80467.9,0.91104,0.59418,1.13727,0.73509,0.7028,0.65242,0.52547,0.9241,2.00983,1.17274,0.00406,0.00406,0.00406
62,81814.3,0.90667,0.58358,1.13731,0.7343,0.70658,0.65289,0.52794,0.91342,1.99865,1.17168,0.003961,0.003961,0.003961
63,83101,0.89446,0.58193,1.13174,0.73373,0.70658,0.6564,0.5304,0.91488,2.03476,1.17311,0.003862,0.003862,0.003862
64,84407.8,0.89141,0.58054,1.12902,0.72893,0.7019,0.65043,0.52845,0.90322,2.02449,1.17247,0.003763,0.003763,0.003763
65,85820,0.8999,0.58049,1.12755,0.72965,0.70556,0.64826,0.52632,0.89488,2.01761,1.16366,0.003664,0.003664,0.003664
66,87145.1,0.89285,0.57258,1.12645,0.728,0.70401,0.65052,0.53049,0.89098,2.01697,1.16277,0.003565,0.003565,0.003565
67,88439.5,0.88423,0.57102,1.11337,0.72589,0.7112,0.64529,0.52511,0.89157,2.00849,1.15602,0.003466,0.003466,0.003466
68,89756.1,0.88276,0.5772,1.11728,0.7282,0.70555,0.64329,0.52312,0.89752,2.03603,1.15747,0.003367,0.003367,0.003367
69,91059.6,0.88176,0.56987,1.11977,0.72418,0.70543,0.64575,0.52173,0.90791,2.05924,1.16304,0.003268,0.003268,0.003268
70,92353.7,0.8772,0.56853,1.11293,0.73139,0.70102,0.64703,0.5242,0.91959,2.09673,1.16621,0.003169,0.003169,0.003169
71,93642.2,0.88573,0.56733,1.11977,0.72265,0.70711,0.65218,0.52887,0.92037,2.06862,1.16314,0.00307,0.00307,0.00307
72,94998.6,0.87398,0.56588,1.11564,0.72503,0.70077,0.64958,0.5283,0.91193,2.03536,1.15954,0.002971,0.002971,0.002971
73,96374.2,0.86952,0.55119,1.1099,0.72647,0.70328,0.64848,0.52659,0.90247,2.00774,1.15522,0.002872,0.002872,0.002872
74,97668.5,0.87384,0.5541,1.11404,0.72827,0.70658,0.65018,0.52786,0.90027,2.01156,1.15326,0.002773,0.002773,0.002773
75,98944.9,0.86817,0.55537,1.11516,0.7266,0.70658,0.64917,0.52782,0.8986,2.01982,1.153,0.002674,0.002674,0.002674
76,100220,0.868,0.55149,1.11077,0.72581,0.71045,0.65067,0.52952,0.89903,2.0467,1.15354,0.002575,0.002575,0.002575
77,101615,0.86179,0.54089,1.10796,0.72718,0.70658,0.64993,0.52807,0.89963,2.054,1.15459,0.002476,0.002476,0.002476
78,103097,0.85876,0.54422,1.10618,0.72762,0.70584,0.65253,0.53052,0.90301,2.05008,1.1549,0.002377,0.002377,0.002377
79,104538,0.8601,0.54925,1.10833,0.72553,0.70424,0.65321,0.52869,0.90551,2.05396,1.15447,0.002278,0.002278,0.002278
80,106035,0.85734,0.54072,1.10564,0.7252,0.70238,0.65154,0.52892,0.90471,2.06608,1.15466,0.002179,0.002179,0.002179
81,107427,0.84692,0.5277,1.10281,0.72419,0.70852,0.64866,0.5252,0.90485,2.06991,1.15527,0.00208,0.00208,0.00208
